estado;City;Country;data;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos
SP;Sao Paulo;BRASIL;2022-06-08;1;1;0;0;1
SP;;BRASIL;2022-06-09;1;0;0;0;1
SP;Indaiatuba;BRASIL;2022-06-10;1;0;0;0;1
SP;;BRASIL;2022-06-11;1;0;0;0;1
SP;;BRASIL;2022-06-12;1;0;0;0;1
SP;;BRASIL;2022-06-13;1;0;0;0;1
SP;;BRASIL;2022-06-14;2;1;0;0;2
SP;;BRASIL;2022-06-15;2;0;0;0;2
SP;;BRASIL;2022-06-16;3;1;0;0;3
SP;;BRASIL;2022-06-17;3;0;0;0;3
SP;;BRASIL;2022-06-18;3;0;0;0;3
SP;;BRASIL;2022-06-19;3;0;0;0;3
SP;;BRASIL;2022-06-20;3;0;0;0;3
SP;;BRASIL;2022-06-21;4;1;0;0;4
SP;;BRASIL;2022-06-22;6;2;0;0;6
SP;;BRASIL;2022-06-23;6;0;0;0;6
SP;;BRASIL;2022-06-24;6;0;0;0;6
SP;;BRASIL;2022-06-25;6;0;0;0;6
SP;;BRASIL;2022-06-26;6;0;0;0;6
SP;;BRASIL;2022-06-27;6;0;0;0;6
SP;;BRASIL;2022-06-28;6;0;0;0;6
SP;;BRASIL;2022-06-29;20;14;0;0;20
SP;;BRASIL;2022-06-30;28;8;0;0;28
SP;;BRASIL;2022-07-01;37;9;0;0;37
SP;;BRASIL;2022-07-02;44;7;0;0;44
SP;;BRASIL;2022-07-03;44;0;0;0;44
SP;;BRASIL;2022-07-04;44;0;0;0;44
SP;;BRASIL;2022-07-05;67;23;0;0;67
SP;;BRASIL;2022-07-06;90;23;0;0;90
SP;;BRASIL;2022-07-07;113;23;0;0;113
SP;;BRASIL;2022-07-08;137;24;0;0;137
SP;;BRASIL;2022-07-09;150;13;0;0;150
SP;;BRASIL;2022-07-10;150;0;0;0;150
SP;;BRASIL;2022-07-11;150;0;0;0;150
SP;;BRASIL;2022-07-12;150;0;0;0;150
SP;;BRASIL;2022-07-13;150;0;0;0;150
SP;;BRASIL;2022-07-14;173;23;0;0;173
SP;;BRASIL;2022-07-15;173;0;0;0;173
SP;;BRASIL;2022-07-16;173;0;0;0;173
SP;;BRASIL;2022-07-17;173;0;0;0;173
SP;;BRASIL;2022-07-18;173;0;0;0;173
SP;;BRASIL;2022-07-19;245;72;0;0;245
SP;;BRASIL;2022-07-20;362;120;0;0;362
SP;;BRASIL;2022-07-21;371;9;0;0;371
SP;;BRASIL;2022-07-22;439;68;0;0;439
SP;;BRASIL;2022-07-23;439;0;0;0;439
SP;;BRASIL;2022-07-24;439;0;0;0;439
SP;;BRASIL;2022-07-25;528;89;0;0;528
SP;;BRASIL;2022-07-26;570;42;0;0;570
SP;;BRASIL;2022-07-27;677;107;0;0;677
SP;;BRASIL;2022-07-28;756;79;0;0;756
SP;;BRASIL;2022-07-29;903;147;0;0;903
SP;;BRASIL;2022-07-30;964;61;0;0;964
SP;;BRASIL;2022-07-31;964;0;0;0;964
SP;;BRASIL;2022-08-01;1012;48;0;0;1012
